file,BLEU,ROUGE_L,ChrF,CodeBLEU,Levenshtein,CodeBERTScore,EmbeddingCosine,CloneJaccard
1.cc,69.06701651815935,76.95852534562212,81.94548156105455,85.59744668301875,517,95.75279951095581,0.9966257810592651,61.40350877192983
10.cc,37.320927086696344,34.69879518072289,57.976052276452414,71.7037487054307,2887,91.11772179603577,0.9965627193450928,32.58426966292135
100.cc,12.26983847492633,24.747774480712167,31.57243898931955,41.62090024686565,18616,89.75820541381836,0.9970672130584717,23.575638506876228
101.cc,37.65692018016311,30.756302521008404,55.16341365430154,75.65483061155658,4144,86.72967553138733,0.9942941665649414,31.103678929765888
102.cc,28.69454687814006,23.584277148567622,44.243889618114125,58.88721582756992,4888,91.22787714004517,0.9926601648330688,23.076923076923077
103.cc,29.353473676139544,30.525030525030527,53.33777532725206,56.87927907695487,3242,89.64085578918457,0.9940394759178162,34.49781659388647
104.cc,36.29792080749187,32.648870636550306,54.93291045257751,62.723701742233104,2840,92.29267835617065,0.9973776936531067,33.734939759036145
105.cc,44.38132399618352,41.32231404958678,63.14576958075106,71.44587429067808,2428,90.35966396331787,0.9962705373764038,41.62436548223351
106.cc,28.949216820818936,30.737704918032787,59.73010354021303,78.07741095785231,5569,89.24850821495056,0.9970380067825317,35.8974358974359
107.cc,23.74291361018505,26.171529619805483,56.468712078150276,76.11955895405312,5214,90.02456665039062,0.9942808747291565,36.0
108.cc,29.779436549496598,30.01912045889102,57.65901898760406,74.76606585577036,3794,88.07047009468079,0.9951187968254089,32.196969696969695
109.cc,31.43938568558464,30.323115161557578,50.94682931361204,64.28769291280302,4457,84.84441637992859,0.9795291423797607,27.205882352941174
11.cc,57.08088475259099,54.460093896713616,71.4340571254738,82.30677407862316,1710,92.97845363616943,0.997586727142334,45.55555555555556
110.cc,29.05957902089334,25.38226299694189,49.45491981872504,72.38275858959892,2399,90.66451787948608,0.9958470463752747,31.60377358490566
111.cc,36.98091958028732,33.701103309929785,56.48265674701083,72.32615383031307,3503,89.92089629173279,0.996904730796814,30.451127819548873
112.cc,38.07122810733249,26.666666666666668,55.165300383499684,73.4481888207915,5793,88.54644894599915,0.9952987432479858,33.23699421965318
113.cc,36.71356792278569,35.26570048309179,49.097227568162374,61.66843199378877,946,92.16744303703308,0.9957043528556824,24.691358024691358
114.cc,31.079518611996647,29.11392405063291,54.49432578942994,74.33548725246527,3237,90.97575545310974,0.9947417974472046,28.57142857142857
115.cc,46.28684110606357,48.37209302325582,71.68930320968578,84.6851368194122,3270,94.57417726516724,0.9979532361030579,46.875
116.cc,50.19311295602021,46.95369618196588,70.3191336153001,77.62684879758768,3689,94.4948136806488,0.9984610080718994,41.07744107744108
117.cc,49.887596340014525,46.57749803304485,69.85798763404274,80.2045755358307,3804,94.66997385025024,0.9975259900093079,39.15857605177994
118.cc,43.69349690592574,41.69230769230769,59.02795734308651,61.23597900736234,4106,94.7887122631073,0.9986387491226196,43.87096774193549
119.cc,34.68401788318437,38.64306784660767,48.73065222950961,46.415775840426164,5005,95.07241249084473,0.9964784979820251,43.15789473684211
12.cc,24.211316289230833,31.25,56.71928732485092,77.35415415159967,4556,90.16957879066467,0.9952952861785889,34.95575221238938
120.cc,46.70463698285622,38.479441427463144,65.41863629122324,77.50613930194508,3885,93.13811659812927,0.9979651570320129,42.857142857142854
121.cc,40.23573190677235,32.31382978723404,60.936129767139604,72.42425470208892,5081,92.75717735290527,0.9964557886123657,35.73407202216066
122.cc,42.61794014780389,63.80789022298457,64.16535809800436,66.44463877563341,1094,94.41888332366943,0.9986748695373535,60.902255639097746
123.cc,43.71629892819438,44.94142705005324,60.193083625401215,65.01561878895544,2281,94.48156356811523,0.9989177584648132,43.333333333333336
124.cc,34.486027071179244,38.89585947302384,64.21382686876993,81.22186745052683,2382,94.27520036697388,0.998927116394043,36.597938144329895
125.cc,40.46497957769597,34.418604651162795,54.077669815165265,69.31910988188244,2040,91.9607400894165,0.996263861656189,37.28813559322034
126.cc,26.006801659385562,33.756805807622506,60.50527621450507,81.40347120530474,4645,93.96032094955444,0.998509407043457,35.93073593073593
127.cc,50.974428281981766,54.269005847953224,72.20884625821465,84.91351961865759,1838,95.71120738983154,0.9991563558578491,45.69892473118279
128.cc,42.27073879298479,45.32710280373832,70.15658704339891,84.75186066687047,2160,95.25555968284607,0.9992097616195679,37.12871287128713
129.cc,21.883485318237327,27.086007702182286,60.519894323863554,78.08618277816124,6699,93.39800477027893,0.9983922839164734,36.76470588235294
13.cc,16.02892870234675,20.911722141823443,42.20906225889541,58.13791734625037,13693,85.82907915115356,0.985797643661499,27.89115646258503
130.cc,39.52876191861916,48.05491990846682,73.14010485073614,84.0421258454413,2795,95.69820165634155,0.9990853667259216,49.171270718232044
131.cc,26.59750241256989,39.029535864978904,54.571343030492145,77.06529153938423,3197,91.62094593048096,0.9967578649520874,33.83838383838384
132.cc,32.18900414164461,46.412556053811656,66.6457912089978,83.24395047199,3021,93.88529658317566,0.9986998438835144,42.78350515463917
133.cc,53.72853369091489,62.12361331220284,74.89115096215446,84.91526615730034,1154,97.21440076828003,0.9994941353797913,54.14012738853503
134.cc,17.25254619601272,22.7125243348475,52.98369244588999,76.01501295367737,8802,92.64606237411499,0.9966917634010315,22.82608695652174
135.cc,64.21660791289987,63.197026022304826,78.3664774996129,84.49230445229202,1007,95.26948928833008,0.999115526676178,56.25
